"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC#1 : Option Class","23717","test_VerifyOptionClass","Default Suite","Fri Oct 03 23:33:07 IST 2025","passed","Fri Oct 03 23:33:31 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB07_Test_Selenium","Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB07_Test_Selenium","test_VerifyOptionClass"
"TC#1 : Verify that valid Email, password on Appointment Page","14249","test_KatalonLogin","All Test Suite","Sun Oct 05 23:31:19 IST 2025","passed","Sun Oct 05 23:31:33 IST 2025","com.avinashsinha.SN03_Selenium_XPath.SXP01_Test_Selenium_Mini_Project_1","C:/Users/HP/Documents/Selenium_Learning","com.avinashsinha.SN03_Selenium_XPath.SXP01_Test_Selenium_Mini_Project_1","test_KatalonLogin"
"TC#1 : Verify the JavaScript Confirm","14481","test_VerifyJavaScriptConfirm","Default Suite","Tue Oct 07 20:13:27 IST 2025","passed","Tue Oct 07 20:13:42 IST 2025","com.avinashsinha.SN05_Selenium_UI_Elements.SUI06_Test_Selenium_JavaScriptConfirm","Selenium_Learning","com.avinashsinha.SN05_Selenium_UI_Elements.SUI06_Test_Selenium_JavaScriptConfirm","test_VerifyJavaScriptConfirm"
"TC#1 : Verify the Error Message during Sign Up","14245","test_VerifyErrorMessage","Default Suite","Sun Oct 05 20:10:30 IST 2025","passed","Sun Oct 05 20:10:44 IST 2025","com.avinashsinha.SN02_Selenium_Locators.SL03_Test_Selenium_Project_3","Selenium_Learning","com.avinashsinha.SN02_Selenium_Locators.SL03_Test_Selenium_Project_3","test_VerifyErrorMessage"
"TC#1 : Verify to open the VWO Login Page on Chrome Browser","8025","test_VerifyVWOLogin_Chrome","Default Suite","Wed Oct 01 23:57:25 IST 2025","passed","Wed Oct 01 23:57:33 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB01_Test_Selenium","Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB01_Test_Selenium","test_VerifyVWOLogin_Chrome"
"TC#1 : Verify to Open the URL on Edge Browser","5861","test_VerifyOpenURL","Default Suite","Fri Oct 03 18:51:36 IST 2025","passed","Fri Oct 03 18:51:42 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB02_Test_Selenium","Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB02_Test_Selenium","test_VerifyOpenURL"
"TC#1 : Verify to Open the URL","8110","test_VerifyOpenURL","Default Suite","Mon Oct 06 11:46:21 IST 2025","passed","Mon Oct 06 11:46:29 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB04_Test_Selenium","Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB04_Test_Selenium","test_VerifyOpenURL"
"TC#3 : Verify to open the VWO Login Page on Firefox Browser","7972","test_VerifyVWOLogin_Firefox","Default Suite","Wed Oct 01 23:57:41 IST 2025","passed","Wed Oct 01 23:57:49 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB01_Test_Selenium","Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB01_Test_Selenium","test_VerifyVWOLogin_Firefox"
"","19870","test_VerifyVWO_Login","All Test Suite","Tue Sep 30 23:28:33 IST 2025","passed","Tue Sep 30 23:28:53 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB01_Test_Selenium","C:/Users/HP/Documents/Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB01_Test_Selenium","test_VerifyVWO_Login"
"","26726","test_VerifyVWOLogin","Default Suite","Tue Sep 30 23:37:42 IST 2025","passed","Tue Sep 30 23:38:09 IST 2025","com.avinashsinha.SN01_Selenium_Basics.SB01_Test_Selenium","Selenium_Learning","com.avinashsinha.SN01_Selenium_Basics.SB01_Test_Selenium","test_VerifyVWOLogin"
